t_rel,state_stamp,x,y,z,vx,vy,vz
6.004914,1783997363.174232,0.000000,-0.000000,1.166367,0.000000,-0.000000,-0.021515
6.034209,1783997363.194228,0.000000,-0.000000,1.165854,0.000000,-0.000000,-0.020580
6.050167,1783997363.217093,0.000000,0.000000,1.165316,0.000000,0.000000,-0.019954
6.060721,1783997363.228129,0.000001,0.000000,1.165045,0.000008,0.000001,-0.019568
6.073288,1783997363.240247,0.000005,0.000001,1.164797,0.000098,0.000013,-0.018944
6.085798,1783997363.255473,0.000021,0.000003,1.164531,0.000566,0.000076,-0.017822
6.097662,1783997363.265185,0.000045,0.000006,1.164485,0.000985,0.000130,-0.018209
6.107871,1783997363.275798,0.000098,0.000013,1.164255,0.002499,0.000327,-0.016110
6.123057,1783997363.295596,0.000283,0.000036,1.163943,0.010099,0.001289,-0.009075
6.133381,1783997363.296542,0.000477,0.000060,1.163856,0.017832,0.002239,-0.004958
6.143638,1783997363.308030,0.000782,0.000098,1.163822,0.029598,0.003663,-0.000093
6.156678,1783997363.326326,0.001209,0.000150,1.163843,0.044600,0.005445,0.004324
6.166732,1783997363.336072,0.001780,0.000219,1.163909,0.063516,0.007658,0.008351
6.176833,1783997363.347445,0.002607,0.000317,1.164019,0.087518,0.010413,0.011633
6.188179,1783997363.357976,0.003721,0.000449,1.164167,0.118042,0.013860,0.013791
6.198241,1783997363.371079,0.005069,0.000605,1.164320,0.151238,0.017513,0.014117
6.208435,1783997363.379165,0.006723,0.000794,1.164465,0.188479,0.021516,0.012241
6.218262,1783997363.381948,0.009178,0.001071,1.164600,0.237862,0.026655,0.006712
6.228278,1783997363.392132,0.011661,0.001345,1.164653,0.283515,0.031170,-0.000220
6.238228,1783997363.400874,0.011661,0.001345,1.164653,0.283515,0.031170,-0.000220
6.252373,1783997363.424046,0.018687,0.002086,1.164521,0.394556,0.040951,-0.022079
6.262439,1783997363.424046,0.018687,0.002086,1.164521,0.394556,0.040951,-0.022079
6.272438,1783997363.439154,0.027612,0.002963,1.163950,0.512372,0.048823,-0.047755
6.282634,1783997363.456142,0.032617,0.003413,1.163550,0.570827,0.051400,-0.059957
6.293303,1783997363.463788,0.032312,0.003373,1.163675,0.567941,0.050963,-0.058546
6.302704,1783997363.465064,0.038474,0.003887,1.163166,0.633701,0.052651,-0.071163
6.312760,1783997363.475147,0.038474,0.003887,1.163166,0.633701,0.052651,-0.071163
6.322678,1783997363.490600,0.045376,0.004409,1.162560,0.700742,0.052927,-0.082783
6.332751,1783997363.499133,0.053438,0.004944,1.161840,0.771374,0.051643,-0.092645
6.350020,1783997363.513448,0.061262,0.005397,1.161139,0.834154,0.048918,-0.100300
6.368844,1783997363.538553,0.078484,0.006209,1.159360,0.955343,0.039983,-0.115747
6.379702,1783997363.538567,0.089472,0.006596,1.158072,1.022393,0.032715,-0.125028
6.390836,1783997363.556233,0.089045,0.006572,1.158158,1.019220,0.032560,-0.124612
6.401433,1783997363.572949,0.124224,0.007145,1.153655,1.195949,0.005243,-0.147488
6.410982,1783997363.574951,0.124224,0.007145,1.153655,1.195949,0.005243,-0.147488
6.420892,1783997363.591614,0.144612,0.007003,1.150670,1.272549,-0.013582,-0.159538
6.430899,1783997363.594186,0.144612,0.007003,1.150670,1.272549,-0.013582,-0.159538
6.441211,1783997363.608073,0.141603,0.006984,1.150706,1.250066,-0.013251,-0.163249
6.451053,1783997363.615149,0.147736,0.006721,1.148701,1.233085,-0.025762,-0.180330
6.461896,1783997363.625094,0.157366,0.006335,1.146664,1.241522,-0.038985,-0.189378
6.471995,1783997363.638383,0.170860,0.005548,1.143826,1.242522,-0.057613,-0.198811
6.482336,1783997363.655385,0.162051,0.005782,1.145046,1.177588,-0.054835,-0.199947
6.493997,1783997363.665076,0.176425,0.004831,1.142704,1.188239,-0.070329,-0.198815
6.505636,1783997363.676149,0.178902,0.004535,1.142744,1.163466,-0.074224,-0.192373
6.515703,1783997363.684970,0.172885,0.004877,1.144409,1.122023,-0.071281,-0.185183
6.525695,1783997363.697169,0.178103,0.004605,1.144825,1.116479,-0.072940,-0.171401
6.535703,1783997363.707438,0.186122,0.004232,1.144771,1.131060,-0.072669,-0.158768
6.545696,1783997363.716124,0.194049,0.003963,1.144865,1.148750,-0.068956,-0.146184
6.555700,1783997363.726146,0.204373,0.003683,1.144780,1.178687,-0.061377,-0.133963
6.566248,1783997363.728333,0.215029,0.003629,1.144989,1.210197,-0.048546,-0.121415
6.575839,1783997363.742747,0.227029,0.003688,1.144990,1.249026,-0.031587,-0.112886
6.585991,1783997363.752104,0.238976,0.003922,1.144908,1.289539,-0.012359,-0.108565
6.595887,1783997363.758435,0.238976,0.003922,1.144908,1.289539,-0.012359,-0.108565
6.609931,1783997363.774978,0.267938,0.005130,1.144243,1.388016,0.039513,-0.111782
6.619991,1783997363.783015,0.267938,0.005130,1.144243,1.388016,0.039513,-0.111782
6.630007,1783997363.796994,0.283396,0.006295,1.143856,1.439521,0.069977,-0.117873
6.640296,1783997363.807966,0.300875,0.007731,1.142937,1.494956,0.103584,-0.129488
6.650012,1783997363.815948,0.300639,0.008006,1.143319,1.494815,0.105129,-0.127075
6.660937,1783997363.829160,0.316710,0.009695,1.142378,1.542992,0.136828,-0.139185
6.671013,1783997363.838966,0.333178,0.011602,1.141156,1.590443,0.168200,-0.152764
6.680994,1783997363.852993,0.349413,0.013859,1.139932,1.633869,0.199014,-0.165636
6.690991,1783997363.853088,0.366914,0.016451,1.138517,1.683081,0.228497,-0.177919
6.701000,1783997363.867714,0.385685,0.019323,1.136835,1.737044,0.256045,-0.189487
6.711046,1783997363.875519,0.402485,0.022098,1.135274,1.780726,0.277980,-0.199021
6.721094,1783997363.883272,0.402485,0.022098,1.135274,1.780726,0.277980,-0.199021
6.731006,1783997363.897974,0.419957,0.025087,1.133677,1.825678,0.296820,-0.207108
6.741435,1783997363.905525,0.437708,0.028120,1.131827,1.867929,0.311917,-0.215718
6.751516,1783997363.915982,0.456309,0.031316,1.129884,1.911959,0.323407,-0.223827
6.761851,1783997363.931929,0.474258,0.034441,1.128014,1.947748,0.329982,-0.230696
6.771492,1783997363.939128,0.493196,0.037654,1.125952,1.985941,0.333196,-0.237814
6.781664,1783997363.949090,0.512295,0.040815,1.123886,2.021361,0.332353,-0.244439
6.791489,1783997363.960105,0.532041,0.043962,1.121743,2.057164,0.328406,-0.250863
6.801520,1783997363.970183,0.556240,0.047656,1.119012,2.098499,0.319976,-0.258480
6.816280,1783997363.986593,0.578569,0.050866,1.116467,2.133103,0.308589,-0.264975
6.826992,1783997363.994075,0.599865,0.053745,1.114106,2.168171,0.297439,-0.270131
6.836427,1783997364.006380,0.623334,0.056707,1.111465,2.204023,0.283240,-0.274804
6.847589,1783997364.016312,0.623919,0.056680,1.111679,2.209170,0.284230,-0.273467
6.859463,1783997364.026416,0.668964,0.061996,1.106425,2.282377,0.260993,-0.280648
6.871369,1783997364.036334,0.691660,0.064398,1.103838,2.317822,0.250977,-0.283185
6.881473,1783997364.046346,0.714575,0.066655,1.101315,2.353835,0.243002,-0.284947
6.891425,1783997364.057400,0.739756,0.069001,1.098557,2.391795,0.236699,-0.286969
6.902404,1783997364.071360,0.763126,0.071077,1.096147,2.428541,0.234603,-0.289057
6.912473,1783997364.081373,0.787431,0.073275,1.093611,2.469155,0.236906,-0.293723
6.922467,1783997364.091550,0.812023,0.075520,1.090988,2.509154,0.242451,-0.301020
6.933361,1783997364.102423,0.837114,0.077842,1.088349,2.550156,0.251184,-0.310353
6.944723,1783997364.111408,0.837112,0.077771,1.088633,2.551289,0.251211,-0.308420
6.956685,1783997364.121324,0.865100,0.080491,1.085527,2.595152,0.263714,-0.321819
6.968338,1783997364.133575,0.915580,0.085711,1.079456,2.663034,0.292000,-0.352085
6.980349,1783997364.151592,0.940509,0.088463,1.076360,2.691612,0.308180,-0.367479
6.990808,1783997364.161338,0.965980,0.091433,1.073081,2.721661,0.326090,-0.382742
