t_rel,state_stamp,x,y,z,vx,vy,vz
5.974896,1783997322.708599,3.000000,0.000000,1.163225,0.000000,0.000000,-0.024560
6.006203,1783997322.728595,3.000000,0.000000,1.162614,0.000000,0.000000,-0.026965
6.017292,1783997322.728595,3.000000,0.000000,1.162614,0.000000,0.000000,-0.026965
6.027693,1783997322.758900,3.000000,0.000000,1.162195,0.000000,0.000000,-0.021703
6.041363,1783997322.779589,3.000000,0.000000,1.161809,0.000000,0.000000,-0.020487
6.051881,1783997322.779589,3.000000,0.000000,1.161809,0.000000,0.000000,-0.020487
6.062135,1783997322.801152,3.000000,0.000000,1.161576,0.000000,0.000000,-0.016627
6.073925,1783997322.801152,3.000000,0.000000,1.161576,0.000000,0.000000,-0.016627
6.085951,1783997322.821450,3.000000,0.000000,1.161207,0.000000,0.000000,-0.017242
6.096024,1783997322.821450,3.000000,0.000000,1.161207,0.000000,0.000000,-0.017242
6.107873,1783997322.848392,3.000000,0.000000,1.160735,0.000000,0.000000,-0.017359
6.117947,1783997322.848392,3.000000,0.000000,1.160735,0.000000,0.000000,-0.017359
6.127939,1783997322.865674,3.000000,0.000000,1.160557,0.000000,0.000000,-0.014532
6.137948,1783997322.865674,3.000000,0.000000,1.160557,0.000000,0.000000,-0.014532
6.147954,1783997322.865674,3.000000,0.000000,1.160557,0.000000,0.000000,-0.014532
6.157985,1783997322.889621,3.000000,0.000000,1.160231,0.000000,0.000000,-0.014159
6.167937,1783997322.889621,3.000000,0.000000,1.160231,0.000000,0.000000,-0.014159
6.177947,1783997322.910587,3.000000,0.000000,1.159932,0.000000,0.000000,-0.014206
6.187932,1783997322.910587,3.000000,0.000000,1.159932,0.000000,0.000000,-0.014206
6.197959,1783997322.935648,3.000000,0.000000,1.159627,0.000000,0.000000,-0.013379
6.207962,1783997322.935648,3.000000,0.000000,1.159627,0.000000,0.000000,-0.013379
6.217948,1783997322.935648,3.000000,0.000000,1.159627,0.000000,0.000000,-0.013379
6.228409,1783997322.964956,3.000000,0.000000,1.159142,0.000000,0.000000,-0.014651
6.238546,1783997322.964956,3.000000,0.000000,1.159142,0.000000,0.000000,-0.014651
6.248497,1783997322.983892,3.000000,0.000000,1.158963,0.000000,0.000000,-0.012565
6.258467,1783997322.983892,3.000000,0.000000,1.158963,0.000000,0.000000,-0.012565
6.268465,1783997322.983892,3.000000,0.000000,1.158963,0.000000,0.000000,-0.012565
6.278479,1783997323.012563,3.000000,0.000000,1.158561,0.000000,0.000000,-0.013147
6.289158,1783997323.012563,3.000000,0.000000,1.158561,0.000000,0.000000,-0.013147
6.299294,1783997323.012563,3.000000,0.000000,1.158561,0.000000,0.000000,-0.013147
6.309337,1783997323.044792,3.000000,0.000000,1.158185,0.000000,0.000000,-0.012561
6.319223,1783997323.044792,3.000000,0.000000,1.158185,0.000000,0.000000,-0.012561
6.329190,1783997323.044792,3.000000,0.000000,1.158185,0.000000,0.000000,-0.012561
6.339212,1783997323.044792,3.000000,0.000000,1.158185,0.000000,0.000000,-0.012561
6.351921,1783997323.082523,3.000000,0.000000,1.157780,0.000000,0.000000,-0.011828
6.361973,1783997323.095598,3.000000,0.000000,1.157564,0.000000,0.000000,-0.013712
6.372094,1783997323.095598,3.000000,0.000000,1.157564,0.000000,0.000000,-0.013712
6.384045,1783997323.117998,3.000000,0.000000,1.157135,0.000000,0.000000,-0.015878
6.395081,1783997323.117998,3.000000,0.000000,1.157135,0.000000,0.000000,-0.015878
6.406532,1783997323.139634,3.000000,0.000000,1.156730,0.000000,0.000000,-0.017031
6.416592,1783997323.139634,3.000000,0.000000,1.156730,0.000000,0.000000,-0.017031
6.426825,1783997323.160424,3.000000,0.000000,1.156324,0.000000,0.000000,-0.018028
6.437609,1783997323.160424,3.000000,0.000000,1.156324,0.000000,0.000000,-0.018028
6.449093,1783997323.183865,3.000000,0.000000,1.155929,0.000000,0.000000,-0.017544
6.460678,1783997323.200619,3.000000,0.000000,1.155519,0.000000,0.000000,-0.020328
6.469145,1783997323.200619,3.000000,0.000000,1.155519,0.000000,0.000000,-0.020328
6.479152,1783997323.200619,3.000000,0.000000,1.155519,0.000000,0.000000,-0.020328
6.489140,1783997323.221615,3.000000,0.000000,1.155130,0.000000,0.000000,-0.019610
6.499284,1783997323.221615,3.000000,0.000000,1.155130,0.000000,0.000000,-0.019610
6.510238,1783997323.249464,3.000000,0.000000,1.154709,0.000000,0.000000,-0.017814
6.524046,1783997323.249464,3.000000,0.000000,1.154709,0.000000,0.000000,-0.017814
6.534841,1783997323.267678,3.000000,0.000000,1.154316,0.000000,0.000000,-0.019306
6.544856,1783997323.267678,3.000000,0.000000,1.154316,0.000000,0.000000,-0.019306
6.556851,1783997323.287658,3.000000,0.000000,1.153861,0.000000,0.000000,-0.020708
6.566869,1783997323.287658,3.000000,0.000000,1.153861,0.000000,0.000000,-0.020708
6.576863,1783997323.307758,3.000000,0.000000,1.153369,0.000000,0.000000,-0.022208
6.588362,1783997323.307758,3.000000,0.000000,1.153369,0.000000,0.000000,-0.022208
6.598441,1783997323.330375,3.000000,0.000000,1.152828,0.000000,0.000000,-0.022895
6.608424,1783997323.330375,3.000000,0.000000,1.152828,0.000000,0.000000,-0.022895
6.618425,1783997323.356619,3.000000,0.000000,1.152242,0.000000,0.000000,-0.022669
6.628442,1783997323.356619,3.000000,0.000000,1.152242,0.000000,0.000000,-0.022669
6.638425,1783997323.377640,3.000000,0.000000,1.151606,0.000000,0.000000,-0.025696
6.648659,1783997323.377640,3.000000,0.000000,1.151606,0.000000,0.000000,-0.025696
6.658424,1783997323.396780,3.000000,0.000000,1.150996,0.000000,0.000000,-0.028168
6.668443,1783997323.396780,3.000000,0.000000,1.150996,0.000000,0.000000,-0.028168
6.678746,1783997323.396780,3.000000,0.000000,1.150996,0.000000,0.000000,-0.028168
6.688920,1783997323.422920,3.000000,0.000000,1.150345,0.000000,0.000000,-0.026861
6.698940,1783997323.422920,3.000000,0.000000,1.150345,0.000000,0.000000,-0.026861
6.708807,1783997323.441933,3.000000,0.000000,1.149914,0.000000,0.000000,-0.025198
6.718955,1783997323.441933,3.000000,0.000000,1.149914,0.000000,0.000000,-0.025198
6.728821,1783997323.464412,3.000000,0.000000,1.149256,0.000000,0.000000,-0.026815
6.738819,1783997323.464412,3.000000,0.000000,1.149256,0.000000,0.000000,-0.026815
6.748875,1783997323.488292,3.000000,0.000000,1.148190,0.000000,0.000000,-0.033957
6.758821,1783997323.488292,3.000000,0.000000,1.148190,0.000000,0.000000,-0.033957
6.768806,1783997323.507395,3.000000,0.000000,1.147859,0.000000,0.000000,-0.027301
6.778891,1783997323.507395,3.000000,0.000000,1.147859,0.000000,0.000000,-0.027301
6.788816,1783997323.527696,3.000000,0.000000,1.147161,0.000000,0.000000,-0.030130
6.798803,1783997323.527696,3.000000,0.000000,1.147161,0.000000,0.000000,-0.030130
6.808807,1783997323.547708,3.000000,0.000000,1.146409,0.000000,0.000000,-0.033114
6.818809,1783997323.547708,3.000000,0.000000,1.146409,0.000000,0.000000,-0.033114
6.830009,1783997323.569836,3.000000,0.000000,1.145688,0.000000,0.000000,-0.032891
6.840060,1783997323.569836,3.000000,0.000000,1.145688,0.000000,0.000000,-0.032891
6.850056,1783997323.589635,3.000000,0.000000,1.144901,0.000000,0.000000,-0.035644
6.860062,1783997323.589635,3.000000,0.000000,1.144901,0.000000,0.000000,-0.035644
6.870053,1783997323.610648,3.000000,0.000000,1.144129,0.000000,0.000000,-0.036077
6.880074,1783997323.610648,3.000000,0.000000,1.144129,0.000000,0.000000,-0.036077
6.890059,1783997323.610648,3.000000,0.000000,1.144129,0.000000,0.000000,-0.036077
6.900139,1783997323.631043,3.000000,0.000000,1.143303,0.000000,0.000000,-0.037856
6.910196,1783997323.631043,3.000000,0.000000,1.143303,0.000000,0.000000,-0.037856
6.920411,1783997323.653606,3.000000,0.000000,1.142863,0.000000,0.000000,-0.030508
6.930905,1783997323.653606,3.000000,0.000000,1.142863,0.000000,0.000000,-0.030508
6.941271,1783997323.673659,3.000000,0.000000,1.141661,0.000000,0.000000,-0.042279
6.951328,1783997323.673659,3.000000,0.000000,1.141661,0.000000,0.000000,-0.042279
6.961441,1783997323.697734,3.000000,0.000000,1.140918,0.000000,0.000000,-0.037706
6.971629,1783997323.697734,3.000000,0.000000,1.140918,0.000000,0.000000,-0.037706
6.981349,1783997323.718381,3.000000,0.000000,1.140571,0.000000,0.000000,-0.029361
6.991336,1783997323.718381,3.000000,0.000000,1.140571,0.000000,0.000000,-0.029361
7.001449,1783997323.735548,3.000000,0.000000,1.139859,0.000000,0.000000,-0.034207
7.011495,1783997323.735548,3.000000,0.000000,1.139859,0.000000,0.000000,-0.034207
7.021920,1783997323.756382,3.000000,0.000000,1.139166,0.000000,0.000000,-0.033813
7.033835,1783997323.756382,3.000000,0.000000,1.139166,0.000000,0.000000,-0.033813
7.046196,1783997323.776755,3.000000,0.000000,1.138457,0.000000,0.000000,-0.034209
7.058839,1783997323.798760,3.000000,0.000000,1.137729,0.000000,0.000000,-0.033763
7.070870,1783997323.798760,3.000000,0.000000,1.137729,0.000000,0.000000,-0.033763
7.080954,1783997323.820141,3.000000,0.000000,1.137010,0.000000,0.000000,-0.033722
7.091113,1783997323.820141,3.000000,0.000000,1.137010,0.000000,0.000000,-0.033722
7.103119,1783997323.839160,3.000000,0.000000,1.136251,0.000000,0.000000,-0.036186
7.115427,1783997323.839160,3.000000,0.000000,1.136251,0.000000,0.000000,-0.036186
7.127332,1783997323.860764,3.000000,0.000000,1.135526,0.000000,0.000000,-0.035140
7.139140,1783997323.878134,3.000000,0.000000,1.134766,0.000000,0.000000,-0.038568
7.150364,1783997323.878134,3.000000,0.000000,1.134766,0.000000,0.000000,-0.038568
7.161563,1783997323.898226,3.000000,0.000000,1.134033,0.000000,0.000000,-0.037734
7.173405,1783997323.898226,3.000000,0.000000,1.134033,0.000000,0.000000,-0.037734
7.184539,1783997323.918288,3.000000,0.000000,1.133299,0.000000,0.000000,-0.037279
7.194672,1783997323.918288,3.000000,0.000000,1.133299,0.000000,0.000000,-0.037279
7.204603,1783997323.938664,3.000000,0.000000,1.132565,0.000000,0.000000,-0.036783
7.214595,1783997323.938664,3.000000,0.000000,1.132565,0.000000,0.000000,-0.036783
7.224588,1783997323.959746,3.000000,0.000000,1.131844,0.000000,0.000000,-0.035745
7.234593,1783997323.959746,3.000000,0.000000,1.131844,0.000000,0.000000,-0.035745
7.244857,1783997323.981194,3.000000,0.000000,1.131095,0.000000,0.000000,-0.035411
7.254914,1783997323.981194,3.000000,0.000000,1.131095,0.000000,0.000000,-0.035411
7.264872,1783997324.000584,3.000000,0.000000,1.130425,0.000000,0.000000,-0.035079
7.275477,1783997324.000584,3.000000,0.000000,1.130425,0.000000,0.000000,-0.035079
7.287814,1783997324.020792,3.000000,0.000000,1.129749,0.000000,0.000000,-0.034434
7.297894,1783997324.020792,3.000000,0.000000,1.129749,0.000000,0.000000,-0.034434
7.309079,1783997324.040773,3.000000,0.000000,1.129074,0.000000,0.000000,-0.034163
7.321028,1783997324.060666,3.000000,0.000000,1.128408,0.000000,0.000000,-0.033885
7.333001,1783997324.060666,3.000000,0.000000,1.128408,0.000000,0.000000,-0.033885
7.344033,1783997324.080635,3.000000,0.000000,1.127788,0.000000,0.000000,-0.032755
7.355984,1783997324.080635,3.000000,0.000000,1.127788,0.000000,0.000000,-0.032755
