t_rel,state_stamp,x,y,z,vx,vy,vz
5.974896,1783997322.710772,-0.000000,0.000000,1.162826,-0.000000,0.000000,-0.016328
6.006203,1783997322.741232,-0.000000,0.000000,1.162220,-0.000000,0.000000,-0.014393
6.017292,1783997322.751984,-0.000000,0.000000,1.162040,-0.000000,0.000000,-0.013790
6.027693,1783997322.762618,0.000000,0.000000,1.161994,0.000001,0.000000,-0.014170
6.041363,1783997322.777688,0.000001,0.000000,1.161617,0.000019,0.000004,-0.012368
6.051881,1783997322.783661,0.000003,0.000001,1.161594,0.000054,0.000012,-0.012562
6.062135,1783997322.795780,0.000017,0.000004,1.161423,0.000341,0.000072,-0.011906
6.073925,1783997322.807821,0.000046,0.000010,1.161258,0.001081,0.000226,-0.010651
6.085951,1783997322.826576,0.000161,0.000033,1.161029,0.006021,0.001231,-0.004615
6.096024,1783997322.836219,0.000276,0.000056,1.160979,0.011407,0.002293,-0.000672
6.107873,1783997322.836219,0.000276,0.000056,1.160979,0.011407,0.002293,-0.000672
6.117947,1783997322.849508,0.000512,0.000102,1.160984,0.020644,0.004079,0.004619
6.127939,1783997322.859221,0.000802,0.000158,1.161050,0.032259,0.006286,0.010020
6.137948,1783997322.874675,0.001274,0.000249,1.161185,0.049316,0.009468,0.016022
6.147954,1783997322.884930,0.001865,0.000361,1.161363,0.069263,0.013126,0.021314
6.157985,1783997322.894756,0.002886,0.000552,1.161650,0.097651,0.018241,0.026797
6.167937,1783997322.894784,0.004124,0.000780,1.161961,0.128948,0.023774,0.030617
6.177947,1783997322.918426,0.005841,0.001093,1.162336,0.168321,0.030605,0.032505
6.187932,1783997322.918426,0.005841,0.001093,1.162336,0.168321,0.030605,0.032505
6.197959,1783997322.937906,0.007861,0.001454,1.162701,0.209663,0.037611,0.032170
6.207962,1783997322.947729,0.010281,0.001884,1.163045,0.254857,0.045129,0.029502
6.217948,1783997322.947729,0.010281,0.001884,1.163045,0.254857,0.045129,0.029502
6.228409,1783997322.962626,0.018149,0.003251,1.163692,0.379945,0.065083,0.013620
6.238546,1783997322.977931,0.022612,0.004009,1.163820,0.441403,0.074446,0.004268
6.248497,1783997322.977931,0.022612,0.004009,1.163820,0.441403,0.074446,0.004268
6.258467,1783997322.989582,0.027073,0.004754,1.163878,0.498534,0.082864,-0.004523
6.268465,1783997323.008747,0.037370,0.006435,1.163800,0.615195,0.099227,-0.021458
6.278479,1783997323.008759,0.043541,0.007420,1.163679,0.676060,0.107345,-0.028532
6.289158,1783997323.019133,0.043541,0.007420,1.163679,0.676060,0.107345,-0.028532
6.299294,1783997323.038682,0.050592,0.008526,1.163514,0.739861,0.115388,-0.034998
6.309337,1783997323.046729,0.058030,0.009670,1.163360,0.800358,0.122637,-0.038231
6.319223,1783997323.059509,0.066070,0.010884,1.163160,0.860082,0.129293,-0.039691
6.329190,1783997323.069176,0.075508,0.012280,1.162901,0.923512,0.135644,-0.039462
6.339212,1783997323.069176,0.075508,0.012280,1.162901,0.923512,0.135644,-0.039462
6.351921,1783997323.087690,0.084237,0.013539,1.162722,0.975467,0.139910,-0.037507
6.361973,1783997323.100976,0.102819,0.016095,1.162651,1.067735,0.144471,-0.028396
6.372094,1783997323.100976,0.102819,0.016095,1.162651,1.067735,0.144471,-0.028396
6.384045,1783997323.117095,0.102069,0.015969,1.163023,1.061598,0.143358,-0.025325
6.395081,1783997323.135725,0.122832,0.018628,1.163173,1.144002,0.143026,-0.013581
6.406532,1783997323.145719,0.134441,0.020018,1.163303,1.181127,0.140256,-0.007359
6.416592,1783997323.155745,0.145264,0.021248,1.163432,1.211821,0.136339,-0.002061
6.426825,1783997323.166138,0.156013,0.022399,1.163583,1.238075,0.130944,0.003152
6.437609,1783997323.176654,0.166661,0.023461,1.163759,1.260579,0.124196,0.008497
6.449093,1783997323.185877,0.189701,0.025510,1.164146,1.311061,0.108557,0.021393
6.460678,1783997323.195742,0.200033,0.026263,1.164503,1.326370,0.098525,0.027986
6.469145,1783997323.206414,0.210505,0.026924,1.165033,1.342386,0.087831,0.035783
6.479152,1783997323.216606,0.208048,0.026712,1.165252,1.326508,0.086467,0.035231
6.489140,1783997323.226599,0.220332,0.027413,1.165931,1.348913,0.074769,0.044704
6.499284,1783997323.236648,0.231365,0.027937,1.166666,1.368313,0.063946,0.053513
6.510238,1783997323.236648,0.231365,0.027937,1.166666,1.368313,0.063946,0.053513
6.524046,1783997323.261615,0.254126,0.028745,1.168756,1.412586,0.042729,0.073065
6.534841,1783997323.272797,0.266199,0.029062,1.169916,1.438784,0.033236,0.082191
6.544856,1783997323.281924,0.279753,0.029342,1.171296,1.468726,0.023910,0.091522
6.556851,1783997323.292136,0.295213,0.029575,1.172804,1.504589,0.015314,0.100348
6.566869,1783997323.302626,0.308377,0.029746,1.174327,1.535601,0.009427,0.108376
6.576863,1783997323.312594,0.322611,0.029872,1.175796,1.572059,0.004806,0.116097
6.588362,1783997323.324681,0.337705,0.030054,1.177760,1.606437,0.001496,0.125569
6.598441,1783997323.335091,0.353815,0.030194,1.179593,1.644509,-0.000211,0.134435
6.608424,1783997323.335091,0.353815,0.030194,1.179593,1.644509,-0.000211,0.134435
6.618425,1783997323.357745,0.386964,0.030577,1.183794,1.723514,0.000719,0.156364
6.628442,1783997323.367636,0.403694,0.030780,1.185895,1.761576,0.002953,0.167718
6.638425,1783997323.367636,0.403694,0.030780,1.185895,1.761576,0.002953,0.167718
6.648659,1783997323.388527,0.418733,0.031239,1.188295,1.784052,0.007568,0.179295
6.658424,1783997323.392780,0.436084,0.031494,1.190452,1.818320,0.011100,0.190676
6.668443,1783997323.401536,0.454042,0.031824,1.192865,1.852179,0.015253,0.203972
6.678746,1783997323.418278,0.473101,0.032506,1.196049,1.879580,0.021565,0.220679
6.688920,1783997323.423750,0.491720,0.032929,1.198680,1.908395,0.025720,0.234261
6.698940,1783997323.434850,0.514409,0.033493,1.202005,1.939815,0.030443,0.251088
6.708807,1783997323.445379,0.513445,0.033821,1.202482,1.933403,0.032327,0.253439
6.718955,1783997323.454788,0.533974,0.034491,1.205749,1.955386,0.036566,0.268563
6.728821,1783997323.454788,0.533974,0.034491,1.205749,1.955386,0.036566,0.268563
6.738819,1783997323.475255,0.573080,0.035950,1.212364,1.985743,0.042651,0.295182
6.748875,1783997323.487965,0.593856,0.036789,1.216115,1.999471,0.044523,0.308761
6.758821,1783997323.496984,0.618397,0.037560,1.220187,2.012600,0.044436,0.319935
6.768806,1783997323.508374,0.636341,0.038294,1.223449,2.015600,0.044198,0.327132
6.778891,1783997323.516931,0.654588,0.039015,1.226865,2.020461,0.043169,0.334216
