t_rel,state_stamp,x,y,z,vx,vy,vz
6.004914,1783997363.164416,3.000000,-0.000000,1.166782,0.000000,-0.000000,-0.029422
6.034209,1783997363.185292,3.000000,-0.000000,1.166249,0.000000,-0.000000,-0.027868
6.050167,1783997363.210432,3.000000,-0.000000,1.165521,0.000000,-0.000000,-0.028295
6.060721,1783997363.231121,3.000000,-0.000000,1.165220,0.000000,-0.000000,-0.022801
6.073288,1783997363.231121,3.000000,-0.000000,1.165220,0.000000,-0.000000,-0.022801
6.085798,1783997363.255070,3.000000,-0.000000,1.164718,0.000000,-0.000000,-0.022069
6.097662,1783997363.255070,3.000000,-0.000000,1.164718,0.000000,-0.000000,-0.022069
6.107871,1783997363.275337,3.000000,-0.000000,1.164179,0.000000,-0.000000,-0.023873
6.123057,1783997363.295295,3.000000,-0.000000,1.163716,0.000000,-0.000000,-0.023604
6.133381,1783997363.295295,3.000000,-0.000000,1.163716,0.000000,-0.000000,-0.023604
6.143638,1783997363.315644,3.000000,-0.000000,1.163272,0.000000,-0.000000,-0.022889
6.156678,1783997363.315644,3.000000,-0.000000,1.163272,0.000000,-0.000000,-0.022889
6.166732,1783997363.334288,3.000000,-0.000000,1.162830,0.000000,-0.000000,-0.023227
6.176833,1783997363.334288,3.000000,-0.000000,1.162830,0.000000,-0.000000,-0.023227
6.188179,1783997363.355520,3.000000,-0.000000,1.162403,0.000000,-0.000000,-0.021976
6.198241,1783997363.355520,3.000000,-0.000000,1.162403,0.000000,-0.000000,-0.021976
6.208435,1783997363.376239,3.000000,-0.000000,1.161989,0.000000,-0.000000,-0.021172
6.218262,1783997363.376239,3.000000,-0.000000,1.161989,0.000000,-0.000000,-0.021172
6.228278,1783997363.400787,3.000000,-0.000000,1.161559,0.000000,-0.000000,-0.019704
6.238228,1783997363.400787,3.000000,-0.000000,1.161559,0.000000,-0.000000,-0.019704
6.252373,1783997363.423609,3.000000,-0.000000,1.161362,0.000000,-0.000000,-0.015284
6.262439,1783997363.423609,3.000000,-0.000000,1.161362,0.000000,-0.000000,-0.015284
6.272438,1783997363.440249,3.000000,-0.000000,1.160969,0.000000,-0.000000,-0.018627
6.282634,1783997363.440249,3.000000,-0.000000,1.160969,0.000000,-0.000000,-0.018627
6.293303,1783997363.462601,3.000000,-0.000000,1.160600,0.000000,-0.000000,-0.017764
6.302704,1783997363.462601,3.000000,-0.000000,1.160600,0.000000,-0.000000,-0.017764
6.312760,1783997363.481241,3.000000,-0.000000,1.160202,0.000000,-0.000000,-0.019215
6.322678,1783997363.481241,3.000000,-0.000000,1.160202,0.000000,-0.000000,-0.019215
6.332751,1783997363.503583,3.000000,-0.000000,1.159768,0.000000,-0.000000,-0.019291
6.350020,1783997363.503583,3.000000,-0.000000,1.159768,0.000000,-0.000000,-0.019291
6.368844,1783997363.525597,3.000000,-0.000000,1.159336,0.000000,-0.000000,-0.019429
6.379702,1783997363.542751,3.000000,-0.000000,1.158970,0.000000,-0.000000,-0.020186
6.390836,1783997363.542751,3.000000,-0.000000,1.158970,0.000000,-0.000000,-0.020186
6.401433,1783997363.572631,3.000000,-0.000000,1.158651,0.000000,-0.000000,-0.016382
6.410982,1783997363.572631,3.000000,-0.000000,1.158651,0.000000,-0.000000,-0.016382
6.420892,1783997363.591631,3.000000,-0.000000,1.158417,0.000000,-0.000000,-0.014748
